name,code,atoll_id
Thuraakunu,A01,
Uligan,A02,1
Berinmadhoo,A03,1
Hathifushi,A04,1
Molhadhoo,A05,1
Hoarafushi,A06,1
Ihavandhoo,A07,1
Kelaa,A08,1
Vashafaru,A09,1
Dhidhdhoo,A10,1
Filladhoo,A11,1
Maarandhoo,A12,1
Thakandhoo,A13,1
Utheemu,A14,1
Muraidhoo,A15,1
Baarah,A16,1
Faridhoo,B01,1
Hanimaadhoo,B02,1
Finey,B03,1
Naivaadhoo,B04,1
Hirimaradhoo,B05,1
Nolhivaranfaru,B06,1
Nellaidhoo,B07,1
Nolhivaram,B08,1
Kurinbi,B09,1
Kunburudhoo,B10,1
Kulhudhuffushi,B11,1
Kumundhoo,B12,1
Neykurendhoo,B13,1
Vaikaradhoo,B14,1
Maavaidhoo,B15,1
Makunudhoo,B16,1
Kanditheemu,C01,1
Noomaraa,C02,1
Goidhoo,C03,1
Feydhoo,C04,1
Feevah,C05,1
Bilehffahi,C06,1
Foakaidhoo,C07,1
Narudhoo,C08,1
Maakandoodhoo,C09,1
Maroshi,C10,1
Lhaimagu,C11,1
Firubaidhoo,C12,1
Komandoo,C13,1
Maaungoodhoo,C14,1
Funadhoo,C15,1
Milandhoo,C16,1
Henbandhoo,D01,1
Kendhikolhudhoo,D02,1
Maalhendhoo,D04,1
Kudafari,D05,1
Landhoo,D06,1
Maafaru,D07,1
Lhohi,D08,1
Miladhoo,D09,1
Magoodhoo,D10,1
Manadhoo,D11,1
Holhudhoo,D12,1
Fodhdhoo,D13,1
Velidhoo,D14,1
Alifushi,E01,1
Vaadhoo,E02,1
Rasgetheemu,E03,1
Angolhitheemu,E04,1
Ungoofaaru,E06,1
Kadholhudhoo,E07,1
Maakurathu,E08,1
Rasmaadhoo,E09,1
Innamaadhoo,E10,1
Maduvvari,E11,1
Inguraidhoo,E12,1
Fainu,E13,1
Meedhoo,E14,1
Kinolhas,E15,1
Hulhudhuffaaru,E05,1
Dhuvaafaru,E,1
Kudarikilu,F01,1
Kamadhoo,F02,1
Kendhoo,F03,1
Kihaadhoo,F04,1
Dhonfanu,F05,1
Dharavandhoo,F06,1
Maalhos,F07,1
Eydhafushi,F08,1
Thulhaadhoo,F09,1
Hithaadhoo,F10,1
Fulhadhoo,F11,1
Fehendhoo,F12,1
Goidhoo,F13,1
Hinnavaru,G01,1
Naifaru,G02,1
Kurendhoo,G03,1
Olhuvelifushi,G04,1
Maafilaafushi,G05,1
Felivaru,G,1
Male',T10,1
Villingili,T11,1
Hulhumale',T12,1
Kaashidhoo,H01,1
Gaafaru,H02,1
Dhiffushi,H03,1
Thulusdhoo,H04,1
Huraa,H05,1
Himmafushi,H06,1
Gulhi,H07,1
Maafushi,H09,1
Guraidhoo,H08,1
Thoddoo,U01,1
Rasdhoo,U02,1
Ukulhas,U03,1
Mathiveri,U04,1
Bodufolhudhoo,U05,1
Feridhoo,U06,1
Maalhos,U07,1
Himandhoo,U08,1
